iterations,fitness,num_node,Concentrate gor amount,Concentrate waste amount,Tail gor amount,Tail waste amount,ppk gor,ppk conc,config,cores,runtime
13230,374.735,15,0,0,0,0,100,500,0-3-2-13-10-4-6-11-14-7-13-3-0-4-9-15-3-13-16-4-1-13-12-15-7-13-8-3-5-11-4,2,72.6186
8958,381.437,15,0,0,0,0,100,500,4-3-4-15-3-12-5-8-7-3-6-12-13-7-14-8-12-15-1-3-0-12-11-12-16-3-9-12-10-12-2,4,42.4189
8842,398.764,15,0,0,0,0,100,500,13-11-16-5-11-10-13-1-4-11-8-15-10-7-3-5-1-11-9-11-12-5-7-10-2-11-0-10-14-10-6,8,21.5883
8328,417.714,15,0,0,0,0,100,500,8-6-8-4-10-13-9-5-12-12-14-15-6-5-3-13-11-3-4-8-1-7-9-13-16-5-13-6-0-13-2,16,29.0862
8331,398.764,15,0,0,0,0,100,500,8-7-10-2-4-14-3-14-8-2-9-2-1-2-5-12-11-14-13-2-16-11-6-12-2-15-14-14-0-12-7,32,10.0933
8721,374.735,15,0,0,0,0,100,500,14-3-4-4-2-4-6-15-13-13-8-3-0-8-7-8-11-5-10-8-16-5-14-8-9-4-1-15-5-5-12,2,52.9638
8347,398.764,15,0,0,0,0,100,500,10-5-3-0-8-1-11-5-12-0-6-15-0-3-13-1-9-0-10-1-16-0-4-1-14-5-1-12-2-1-7,4,49.7939
8443,398.764,15,0,0,0,0,100,500,1-10-2-5-11-10-16-6-13-10-14-6-3-15-5-10-4-5-1-13-7-5-8-5-12-3-9-6-10-10-0,8,20.152
8341,403.963,15,0,0,0,0,100,500,11-5-1-5-10-3-4-5-0-8-14-9-8-7-12-13-5-9-11-13-7-5-16-9-6-5-4-15-9-11-2,16,32.0868
8300,317.252,15,0,0,0,0,100,500,11-9-11-2-8-7-3-9-0-15-9-3-16-7-15-6-4-3-12-7-2-3-5-9-13-3-14-9-1-3-10,32,7.9524
9013,398.764,15,0,0,0,0,100,500,1-13-1-13-9-6-3-13-0-3-12-3-4-15-13-8-10-6-2-13-7-2-14-3-16-3-11-6-8-3-5,2,74.5617
10361,449.616,15,0,0,0,0,100,500,7-9-13-0-6-15-9-7-8-0-12-9-7-0-4-0-1-16-12-14-10-14-0-7-3-7-11-9-5-15-2,4,145.15
8879,398.764,15,0,0,0,0,100,500,3-10-7-7-13-11-3-11-6-7-8-9-14-11-5-11-2-7-16-10-0-15-11-10-9-7-4-7-12-0-1,8,20.998
8369,381.437,15,0,0,0,0,100,500,10-13-16-15-2-15-7-13-8-13-14-1-13-7-9-1-5-13-0-7-10-7-11-5-4-13-3-7-6-13-12,16,9.07686
8300,317.629,15,0,0,0,0,100,500,2-11-2-0-10-11-14-5-0-0-9-6-11-5-15-11-8-12-13-0-1-0-16-5-12-5-3-3-4-11-7,32,9.89848
12982,381.437,15,0,0,0,0,100,500,0-11-9-15-11-7-12-7-2-7-16-11-0-11-5-11-6-7-4-14-3-7-8-13-14-7-10-15-1-13-7,2,93.3202
9286,381.437,15,0,0,0,0,100,500,12-9-14-15-2-5-6-2-13-9-8-15-1-5-9-9-0-9-11-2-3-6-7-9-16-2-10-2-12-9-4,4,32.9774
9869,374.735,15,0,0,0,0,100,500,1-15-9-9-10-4-16-4-2-9-5-9-1-15-0-13-8-13-11-6-14-13-7-4-12-4-3-0-4-6-13,8,18.0999
8291,435.383,15,0,0,0,0,100,500,8-2-16-13-7-11-9-1-5-2-12-0-12-15-11-2-10-11-1-11-8-2-4-6-14-1-3-6-2-6-13,16,35.0274
8274,374.735,15,0,0,0,0,100,500,1-11-16-8-9-8-1-4-5-15-14-14-11-11-0-11-6-4-3-5-13-5-12-8-2-11-7-5-10-15-8,32,7.69905
8826,398.764,15,0,0,0,0,100,500,4-12-14-8-3-8-16-8-2-9-5-9-13-8-1-9-4-9-7-10-11-15-9-10-12-10-8-11-0-8-6,2,71.439
12894,398.764,15,0,0,0,0,100,500,9-4-1-4-11-3-4-15-5-5-6-3-7-5-9-3-2-4-13-5-12-2-8-4-16-5-14-4-0-7-10,4,48.9369
9595,398.764,15,0,0,0,0,100,500,5-6-8-11-2-0-10-0-9-12-1-6-7-13-12-6-4-6-5-0-16-0-14-13-0-13-11-15-6-0-3,8,22.2888
8228,317.252,15,0,0,0,0,100,500,1-8-13-8-4-3-7-14-0-8-2-0-16-0-5-0-10-14-3-15-8-0-12-14-15-0-6-8-1-11-9,16,8.18215
8265,398.764,15,0,0,0,0,100,500,5-13-10-13-16-11-7-9-5-15-9-9-6-9-2-14-8-13-0-4-11-13-12-4-14-13-1-9-3-4-13,32,10.0087
8943,381.437,15,0,0,0,0,100,500,7-11-14-14-16-14-1-14-6-0-9-14-3-14-2-13-4-15-13-14-5-13-7-15-8-13-10-11-0-13-12,2,60.2804
8550,386.747,15,0,0,0,0,100,500,6-7-14-7-16-13-5-7-0-15-10-1-14-8-13-10-12-4-11-7-11-4-8-10-9-10-6-7-3-6-2,4,118.346
8257,398.764,15,0,0,0,0,100,500,5-13-3-13-0-1-5-13-9-0-8-1-7-9-10-1-4-3-14-1-2-9-12-9-6-9-16-15-1-9-11,8,20.9207
8270,398.764,15,0,0,0,0,100,500,11-4-2-14-12-4-14-2-6-15-10-10-11-14-1-0-3-10-7-14-16-4-0-10-8-14-13-14-9-10-5,16,10.633
8301,381.437,15,0,0,0,0,100,500,8-12-2-12-0-12-16-14-4-14-12-3-10-12-1-12-11-3-9-4-7-3-8-12-6-3-5-15-3-15-13,32,8.60273
11824,381.437,15,0,0,0,0,100,500,12-15-4-4-11-1-16-4-12-5-7-15-0-1-13-5-1-7-10-1-6-1-9-4-3-4-8-1-14-1-2,2,77.6835
8641,403.918,15,0,0,0,0,100,500,6-14-4-10-9-7-8-7-16-14-11-7-1-4-13-0-10-7-3-6-12-0-6-14-7-2-1-7-5-15-0,4,106.993
8979,374.735,15,0,0,0,0,100,500,4-2-9-2-8-11-6-15-11-10-1-10-4-10-5-6-14-2-0-6-7-3-13-15-10-6-16-3-2-6-12,8,16.5309
13694,411.868,15,0,0,0,0,100,500,10-14-2-8-11-14-10-14-9-9-1-0-12-3-4-15-14-0-13-14-8-14-3-16-12-10-6-0-5-7-0,16,72.5903
15213,398.764,15,0,0,0,0,100,500,0-12-11-9-2-12-8-2-6-2-3-9-1-2-16-2-4-12-0-15-12-1-13-12-14-9-5-2-7-5-10,32,16.2517
12648,310.378,15,0,0,0,0,100,500,8-9-16-14-5-9-4-9-10-9-0-13-12-13-9-6-3-5-7-5-11-9-2-5-8-13-6-15-1-13-15,2,64.7794
8877,398.764,15,0,0,0,0,100,500,6-9-4-12-7-1-10-1-6-9-11-12-9-1-2-12-5-5-13-1-3-7-8-9-16-15-1-9-14-9-0,4,37.8172
8324,381.437,15,0,0,0,0,100,500,14-13-6-15-8-0-12-10-5-0-7-0-9-13-11-0-2-15-13-0-4-1-0-13-14-0-16-1-10-13-3,8,16.4469
15730,441.718,15,0,0,0,0,100,500,12-7-5-7-14-11-9-7-16-13-7-7-1-10-12-10-6-11-2-3-14-13-4-4-0-10-11-15-10-11-8,16,81.1192
13004,363.701,15,0,0,0,0,100,500,0-7-8-15-2-15-10-7-13-0-12-7-3-1-7-10-11-7-14-10-12-1-6-10-9-7-4-7-16-7-5,32,32.2849
13919,374.735,15,0,0,0,0,100,500,3-15-2-6-7-11-4-2-1-11-6-14-9-0-14-6-13-14-16-14-8-2-3-15-0-14-5-6-12-2-10,2,75.7049
8346,350.058,15,0,0,0,0,100,500,1-3-13-9-11-13-12-15-9-13-5-1-16-1-7-0-14-13-4-3-0-0-2-9-10-13-8-9-7-13-6,4,111.283
8613,317.629,15,0,0,0,0,100,500,13-6-10-11-0-6-12-7-15-8-9-7-11-8-13-3-8-7-5-8-14-6-2-7-6-6-16-8-4-5-1,8,25.0129
9244,441.718,15,0,0,0,0,100,500,0-5-14-8-12-8-16-5-0-14-6-7-11-14-9-15-5-5-3-2-13-8-13-7-8-8-10-14-4-11-1,16,58.2462
14997,398.764,15,0,0,0,0,100,500,5-8-10-11-8-4-12-8-16-11-1-14-13-8-9-14-5-14-7-8-3-8-6-15-14-1-0-14-2-11-4,32,18.1865
8801,398.764,15,0,0,0,0,100,500,3-9-6-0-13-4-0-9-14-15-9-0-11-9-3-8-10-4-2-4-8-2-1-0-16-0-5-0-12-9-7,2,70.936
8430,398.764,15,0,0,0,0,100,500,5-2-13-11-10-15-11-11-5-13-9-11-1-13-16-13-4-2-0-13-12-8-14-2-8-13-6-11-3-0-7,4,36.1359
8422,362.053,15,0,0,0,0,100,500,9-9-6-4-7-11-1-15-11-3-5-11-9-2-13-5-14-5-12-5-10-2-9-3-4-5-16-8-0-5-0,8,131.861
8324,398.764,15,0,0,0,0,100,500,14-8-9-0-5-0-11-13-0-13-3-0-2-4-10-8-6-13-4-8-14-3-12-0-16-0-1-15-8-8-7,16,14.004
8261,411.73,15,0,0,0,0,100,500,5-7-4-9-16-9-8-4-2-7-9-0-3-0-5-15-0-9-14-0-6-9-1-12-14-9-10-5-11-6-13,32,30.5203
11016,398.764,15,0,0,0,0,100,500,5-10-13-11-6-11-14-11-2-9-1-0-8-11-3-0-5-0-12-10-11-15-0-0-7-13-4-10-9-11-16,2,79.6201
11236,367.927,15,0,0,0,0,100,500,5-8-14-5-12-0-16-0-1-8-11-7-10-15-8-6-4-6-7-13-1-0-3-0-4-5-9-0-2-8-5,4,149.441
8477,398.764,15,0,0,0,0,100,500,11-1-11-5-3-8-12-5-4-5-8-15-1-8-13-1-14-1-0-8-2-4-9-1-7-8-6-8-16-3-10,8,20.0729
8463,320.228,15,0,0,0,0,100,500,5-14-13-15-12-8-3-8-7-8-16-11-10-1-15-8-4-11-9-11-5-11-0-1-14-6-11-8-2-1-8,16,8.54042
11401,255.278,15,0,0,0,0,100,500,14-1-13-12-10-8-3-8-7-8-16-1-9-12-15-8-4-1-11-12-5-12-8-1-14-6-9-10-2-1-0,32,19.7905
9112,381.437,15,0,0,0,0,100,500,9-13-8-13-16-3-9-5-11-13-1-15-7-11-0-15-3-13-10-3-6-13-14-5-13-3-2-3-12-13-4,2,63.0561
8809,381.437,15,0,0,0,0,100,500,7-10-8-13-5-5-11-1-6-15-1-13-10-1-7-1-2-10-9-10-14-1-3-10-0-10-16-15-4-10-12,4,31.4324
8736,391.772,15,0,0,0,0,100,500,5-4-8-9-2-12-3-12-6-10-9-4-14-12-7-12-11-4-1-10-12-15-4-12-16-4-5-4-0-4-13,8,24.4479
8297,401.314,15,0,0,0,0,100,500,2-3-12-14-16-4-7-4-2-11-14-10-8-14-9-4-10-1-0-14-0-14-6-15-4-2-13-7-5-4-3,16,49.5066
8324,398.764,15,0,0,0,0,100,500,0-7-13-10-6-7-9-2-12-1-11-2-8-10-2-10-1-2-14-7-0-15-7-6-3-2-5-7-4-2-16,32,10.1319
12508,381.437,15,0,0,0,0,100,500,4-15-12-0-3-3-14-11-5-11-6-11-10-1-13-3-8-3-16-3-7-11-4-0-1-15-11-3-2-3-9,2,82.5248
9546,348.53,15,0,0,0,0,100,500,9-14-10-4-13-14-8-1-12-15-14-13-16-13-5-2-3-1-2-14-0-14-7-13-6-13-11-14-9-4-2,4,79.3037
8356,398.764,15,0,0,0,0,100,500,14-12-7-12-5-11-9-12-1-2-13-12-16-10-4-12-3-10-14-11-12-11-2-15-10-10-8-9-0-10-6,8,19.7516
17069,381.437,15,0,0,0,0,100,500,0-14-5-2-9-14-13-10-2-14-0-3-11-2-8-2-6-2-16-2-7-15-12-2-1-15-14-14-4-10-3,16,21.0386
13211,399.09,15,0,0,0,0,100,500,3-11-13-14-8-8-4-14-0-12-13-1-6-1-7-1-16-14-3-15-14-1-5-9-1-1-10-1-2-9-11,32,43.5543
9381,403.963,15,0,0,0,0,100,500,3-9-3-0-11-13-8-9-14-2-1-13-16-13-1-10-13-13-12-10-7-15-9-3-4-13-5-9-0-7-6,2,228.041
9093,354.503,15,0,0,0,0,100,500,2-12-8-2-8-12-3-12-5-0-13-12-14-2-9-15-12-11-1-2-16-0-6-7-0-7-11-0-10-11-4,4,80.3739
8609,364.003,15,0,0,0,0,100,500,2-14-6-13-16-4-0-13-5-7-14-4-3-5-10-15-4-13-1-4-2-13-12-13-8-13-11-4-9-7-5,8,39.3831
8426,372.952,15,0,0,0,0,100,500,13-7-12-6-8-6-3-6-9-7-6-0-11-0-5-15-10-6-16-6-1-15-0-0-13-7-4-4-14-6-2,16,7.61339
8251,355.835,15,0,0,0,0,100,500,10-11-16-15-13-11-7-11-12-8-3-1-11-11-9-11-0-1-5-11-2-5-14-8-4-10-3-15-8-5-6,32,20.1716
13486,320.228,15,0,0,0,0,100,500,5-6-11-6-15-1-0-8-13-8-10-0-12-15-2-0-5-0-7-8-16-8-9-6-8-0-14-8-4-11-3,2,83.0327
8532,391.772,15,0,0,0,0,100,500,1-3-6-12-2-12-9-12-1-15-12-3-13-3-5-3-16-14-0-12-10-12-11-12-8-4-14-3-7-4-3,4,43.8153
8342,398.764,15,0,0,0,0,100,500,2-14-2-14-0-14-9-1-13-7-5-7-1-1-10-15-14-1-16-14-11-1-8-4-12-5-3-1-6-7-4,8,19.7106
